node_id,lat,lon,added
0,55.7524,37.7191,0
1,55.751436,37.716619,0
2,55.7074,37.6576,0
3,55.6877,37.5733,0
4,55.752433,37.60879,0
5,55.8088,37.639,0
6,55.6326,37.766,0
7,55.898,37.587,0
8,55.6971,37.4651,0
9,55.5828,37.5966,0
10,55.7522,37.6061,0
11,55.7518,37.6007,0
12,55.8003,37.5329,0
13,55.607087,37.287702,0
14,55.8694,37.6644,0
15,55.7438,37.4977,0
16,55.7612,37.5795,0
17,55.773,37.6806,0
18,55.7738,37.5468,0
19,55.8658,37.4764,0
20,55.7767,37.5835,0
21,55.7764,37.5844,0
22,55.6428,37.5257,0
23,55.8838,37.6034,0
24,55.7512,37.61,0
25,55.6004,37.5562,0
26,55.6334,37.7436,0
27,55.7511,37.6072,0
28,55.647746,37.370396,0
29,55.8449,37.6383,0
30,55.6597,37.7505,0
31,55.5455,37.543,0
32,55.5693,37.5769,0
33,55.8148,37.7342,0
34,55.538,37.5158,0
35,55.8133,37.6028,0
36,55.8211,37.6411,0
37,55.6533,37.6194,0
38,55.856,37.561,0
39,55.8473,37.5899,0
40,55.8398,37.4867,0
41,55.819,37.498,0
42,55.7253,37.6869,0
43,55.6909,37.753,0
44,55.8354,37.3822,0
45,55.7103,37.5592,0
46,55.6589,37.5393,0
47,55.7156,37.8181,0
48,55.626319,37.487647,0
49,55.659548,37.417254,0
50,55.7152,37.4517,0
51,55.749976,37.541074,0
52,55.7491,37.5395,0
53,55.7897,37.558,0
54,55.8069,37.5817,0
55,55.7291,37.6243,0
56,55.6108,37.7186,0
57,55.7816,37.6151,0
58,55.7186,37.676,0
59,55.6855,37.8563,0
60,55.6558,37.5735,0
61,55.6124,37.7453,0
62,55.7878,37.7814,0
63,55.6571,37.5405,0
64,55.6358,37.6564,0
65,55.653,37.5983,0
66,55.6551,37.6487,0
67,55.6551,37.6487,0
68,55.744339,37.565509,0
69,55.7436,37.5655,0
70,55.744654,37.565591,0
