node_id,neighbors_with_weights
364,"[(363, 317.06379605853164), (365, 328.24863813419734)]"
365,"[(161, 340.7861929501605), (364, 328.24863813419734)]"
366,"[(161, 259.6318804811733), (367, 258.50608163120233)]"
367,"[(366, 258.50608163120233), (368, 257.6108373282808)]"
368,"[(367, 257.6108373282808), (369, 256.94847480620643)]"
369,"[(368, 256.94847480620643), (370, 256.5207158916561)]"
370,"[(217, 256.32865352871727), (369, 256.5207158916561)]"
371,"[(217, 446.07980890637384), (372, 445.266790858535)]"
372,"[(371, 445.266790858535), (373, 444.8541444720035)]"
373,"[(372, 444.8541444720035), (374, 444.8427372525079)]"
374,"[(373, 444.8427372525079), (375, 445.2323536222335)]"
375,"[(126, 446.0216967278314), (374, 445.2323536222335)]"
376,"[(126, 355.10366496611846), (377, 361.48347350962405)]"
377,"[(376, 361.48347350962405), (378, 368.42008792758696)]"
378,"[(377, 368.42008792758696), (379, 375.8826035833637)]"
379,"[(378, 375.8826035833637), (380, 383.84026113005336)]"
380,"[(1, 392.2628330635508), (379, 383.84026113005336)]"
381,"[(1, 283.01719434746667), (382, 276.0920057234757)]"
382,"[(381, 276.0920057234757), (383, 269.5428501084254)]"
383,"[(382, 269.5428501084254), (384, 263.3977412316731)]"
384,"[(383, 263.3977412316731), (385, 257.6855549148277)]"
385,"[(99, 252.4356548126476), (384, 257.6855549148277)]"
386,"[(99, 286.25608885753417), (387, 288.1828435089001)]"
387,"[(386, 288.1828435089001), (388, 290.40343807475193)]"
388,"[(387, 290.40343807475193), (389, 292.91109560711254)]"
389,"[(388, 292.91109560711254), (390, 295.69841707929805)]"
390,"[(260, 298.7574776182655), (389, 295.69841707929805)]"
391,"[(260, 351.4536470429448), (392, 338.46317539021237)]"
392,"[(391, 338.46317539021237), (393, 326.8092448755477)]"
393,"[(392, 326.8092448755477), (394, 316.6395826220896)]"
394,"[(393, 316.6395826220896), (395, 308.10132919074954)]"
395,"[(202, 301.33333423244153), (394, 308.10132919074954)]"
396,"[(202, 455.2769542080494), (397, 450.5000980498053)]"
397,"[(396, 450.5000980498053), (398, 449.7076065043645)]"
398,"[(397, 449.7076065043645), (399, 452.9204823325121)]"
399,"[(398, 452.9204823325121), (400, 460.0549022154731)]"
400,"[(185, 470.93275410614166), (399, 460.0549022154731)]"
401,"[(185, 228.6103358397186), (402, 220.7978142796305)]"
402,"[(401, 220.7978142796305), (403, 214.31587905476107)]"
403,"[(402, 214.31587905476107), (404, 209.28825153582557)]"
404,"[(403, 209.28825153582557), (405, 205.8215902183958)]"
