node_id,x,y,added
0,566239.1292,1488031.556,0
1,566201.8844280001,1488005.82684,0
2,565315.8912000001,1486830.506,0
3,564050.3796000001,1486304.713,0
4,564583.15548,1488032.43677,0
5,565036.6680000001,1489536.872,0
6,566943.1919999999,1484834.0939999998,0
7,564256.044,1491917.62,0
8,562426.0812,1486555.599,0
9,564400.1592,1483504.932,0
10,564542.7731999999,1488026.218,0
11,564461.7084,1488015.5420000001,0
12,563443.8948,1489310.007,0
13,559762.982424,1484153.15203,0
14,565417.9728,1491154.286,0
15,562915.4724,1487802.022,0
16,564143.454,1488266.428,0
17,565661.1672,1488581.37,0
18,563652.5616,1488602.722,0
19,562595.7167999999,1491058.202,0
20,564203.502,1488680.123,0
21,564217.0128,1488672.1160000002,0
22,563335.8084,1485106.332,0
23,564502.2408,1491538.622,0
24,564601.32,1487999.528,0
25,563793.6743999999,1483974.676,0
26,566606.9232,1484855.446,0
27,564559.2864,1487996.859,0
28,561004.384752,1485238.34074,0
29,565026.1596,1490500.381,0
30,566710.506,1485557.393,0
31,563595.516,1482509.395,0
32,564104.4228000001,1483144.6169999999,0
33,566465.8104000001,1489697.0119999999,0
34,563187.1895999999,1482309.22,0
35,564493.2336,1489656.977,0
36,565068.1932,1489865.159,0
37,564742.4328,1485386.577,0
38,563865.732,1490796.6400000001,0
39,564299.5788,1490564.437,0
40,562750.3404,1490364.2619999999,0
41,562919.9759999999,1489809.11,0
42,565755.7428,1487308.257,0
43,566748.036,1486390.121,0
44,561181.5863999999,1490246.826,0
45,563838.7104,1486907.907,0
46,563539.9715999999,1485536.041,0
47,567725.3172,1487049.364,0
48,562764.5567640001,1484666.45411,0
49,561707.8170479999,1485553.33612,0
50,562224.9204000001,1487038.688,0
51,563566.6028880001,1487966.8594399998,0
52,563542.9739999999,1487943.479,0
53,563820.696,1489027.093,0
54,564176.4804,1489486.161,0
55,564815.9916,1487409.679,0
56,566231.6232,1484252.2519999999,0
57,564677.8812,1488810.9039999999,0
58,565592.1120000001,1487129.4340000001,0
59,568298.7755999999,1486245.9949999999,0
60,564053.3820000001,1485453.302,0
61,566632.4436,1484294.956,0
62,567174.3768,1488976.382,0
63,563557.986,1485487.999,0
64,565297.8768,1484919.502,0
65,564425.6796,1485378.57,0
66,565182.2844,1485434.619,0
67,565182.2844,1485434.619,0
68,563933.421108,1487816.4079099998,0
69,563933.286,1487796.6840000001,0
70,563934.652092,1487824.8152599998,0
71,564951.0996,1488108.957,0
72,564951.0996,1488108.957,0
73,565686.2282328,1485962.563214,0
74,565728.7212,1486830.506,0
75,565408.9656,1486059.165,0
76,565294.8744,1488642.757,0
77,565275.3587999999,1488629.412,0
78,563232.2256,1484852.777,0
79,568219.181976,1486724.35987,0
80,568327.2984,1485947.067,0
81,566618.9328,1484329.653,0
82,564111.9288,1488269.097,0
83,565461.5076,1488770.869,0
84,565182.2844,1488474.6099999999,0
85,565461.5076,1487516.439,0
86,564506.7444000001,1487842.057,0
87,561570.3972,1488146.323,0
88,564840.0108,1488250.4139999999,0
89,566937.1872,1486782.464,0
90,562137.8508,1487452.383,0
91,562137.8508,1487452.383,0
92,562139.352,1487401.672,0
93,565324.958448,1488182.06091,0
94,565344.414,1488154.3299999998,0
95,563466.4127999999,1487697.9309999999,0
96,564242.5332000001,1486838.513,0
97,568241.73,1486667.6970000002,0
98,564104.4228000001,1483486.2489999998,0
99,566053.8661079999,1488359.7896200002,0
100,563619.5352,1491941.6409999998,0
101,563193.134352,1486823.00611,0
102,564859.5264,1488226.3930000002,0
103,568969.256556,1486859.73155,0
104,566880.1416,1485987.102,0
105,565266.3515999999,1487729.959,0
106,564694.3944,1489179.226,0
107,564710.4077004,1489258.407223,0
108,566599.4172,1485298.5,0
109,564388.1496,1488503.969,0
110,565371.4356,1491629.368,0
111,564467.7132,1488794.89,0
112,562900.0851,1487295.39242,0
113,560881.3464,1490521.733,0
114,562695.456528,1486352.32796,0
115,562729.3236,1486318.058,0
116,562520.50668,1488265.1468800001,0
117,561701.0016000001,1487721.952,0
118,563458.9068,1487922.127,0
119,561226.6224,1489974.588,0
120,564787.4688,1486179.27,0
121,566005.96371672,1486217.2215786,0
122,564607.3248,1485896.3560000001,0
123,562725.9008640001,1488653.45969,0
124,564533.766,1485637.463,0
125,569378.243484,1486709.9739599999,0
126,566377.644924,1487499.65099,0
127,566377.644924,1487499.65099,0
128,563281.7652,1485829.631,0
129,563252.506812,1485856.37438,0
130,567702.7992,1488012.873,0
131,568411.3656,1487836.719,0
132,564894.054,1487740.635,0
133,562472.91864,1482906.96924,0
134,560776.982976,1485022.1250500001,0
135,564493.2336,1488765.531,0
136,563762.1492,1483990.69,0
137,563766.6528,1485837.638,0
138,562176.266508,1485844.3638799998,0
